model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
LSTMAD,GHL,mtsbench,GHL/GHL_24_Lev_fault_Temp_corr_seed_83_vars_23,43.03,120000,80001,125,0.001219295023942528,0.31129176388906277,0.001753809463400957,0.42029665031849844,0.0,0.0,0.0,0.0,0.6712439136417804
LSTMAD,GHL,mtsbench,GHL/GHL_41_Lev_corr_Temp_fault_seed_181_vars_23,63.18,85137,114001,125,0.02532455512181981,0.5968259748310208,0.026803890777658056,0.6065891793443527,0.0,0.0,0.0,0.0,0.3957904411841012
LSTMAD,GHL,mtsbench,GHL/GHL_43_Lev_corr_Temp_fault_seed_189_vars_23,83.74,120000,80001,125,0.052372109945431254,0.6889836542806526,0.06287280064530876,0.7041630805764283,0.0,0.0,0.0,0.0,0.642589860002079
LSTMAD,GHL,mtsbench,GHL/GHL_44_Lev_corr_Temp_fault_seed_190_vars_23,109.53,120000,80001,125,0.031800283488563105,0.3890743600381261,0.034782846749330944,0.4137560468429451,0.0,0.0,0.0,0.0,0.5027551061095814
LSTMAD,GHL,mtsbench,GHL/GHL_45_Lev_corr_Temp_fault_seed_193_vars_23,172.53,120000,80001,125,0.07408253519635624,0.7847219085561615,0.0841151363553184,0.8028719367060861,0.0,0.0,0.0,0.0,0.6304107467438403
LSTMAD,GHL,mtsbench,GHL/GHL_46_Lev_corr_Temp_fault_seed_194_vars_23,72.86,120000,80001,125,0.01449376722620562,0.5963833996404121,0.016262990608714126,0.6113299898635315,0.0,0.0,0.0,0.0,0.6402876203619515
LSTMAD,GHL,mtsbench,GHL/GHL_47_Lev_corr_Temp_fault_seed_197_vars_23,105.12,120000,80001,125,0.007939257711564039,0.38780072824961953,0.008734760737917128,0.4088030074512001,0.0,0.0,0.0,0.0,0.6491202714687546
LSTMAD,GHL,mtsbench,GHL/GHL_48_Lev_corr_Temp_fault_seed_199_vars_23,101.36,120000,80001,125,0.030547895563695738,0.510231473339718,0.033502729896053234,0.5284150057209533,0.0,0.0,0.0,0.0,0.4926208110848278
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S1-ADL2,10.06,5684,25780,34,0.04497557779546463,0.7403172465839861,0.05044477278251098,0.7426974947974225,0.0,0.0,0.0,0.0,0.2954043155954794
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S1-ADL3,9.79,6006,26619,35,0.08066227359575157,0.8649459625791442,0.09018741872124118,0.8659284034757517,0.0,0.0,0.0,0.0,0.5546350689407242
